sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
明朝官员。,London,Officials in Ming Dynasty.,明朝官员,london,officials in ming dynasty,4640.434547901154
他曾经在哥伦比亚大学执教。,He used to teach at Columbia University,He has been teaching in Columbia University.,他曾经在哥伦比亚大学执教,he used to teach at columbia university,he has been teaching in columbia university,4640.434547901154
武田信吉。,comprar desires,Takeda Shinji.,武田信吉,comprar desires,takeda shinji,4640.434547901154
但苹果后来批准该应用发布更新。,Apple later approved the application to be released and updated,But Apple later approved the updating of this app.,但苹果后来批准该应用发布更新,apple later approved the application to be released and updated,but apple later approved the updating of this app,4640.434547901154
他在奥尔巴尼大学有教育和法文双教授衔。,He has an education and French double professorate in the University of Albany.,He is reputed as professors in education and French in Albany University.,他在奥尔巴尼大学有教育和法文双教授衔,he has an education and french double professorate in the university of albany,he is reputed as professors in education and french in albany university,4640.434547901154
该枪面向民用娱乐射击市场。,The gun faces the public entertainment shooting market,This gun can be sold in the entertainment-oriented shooting market.,该枪面向民用娱乐射击市场,the gun faces the public entertainment shooting market,this gun can be sold in the entertainment oriented shooting market,4640.434547901154
阿拉伯狒狒主要生活在半沙漠地带。,Arab bandits mainly live in semi-sand desert areas,Arabian baboon mainly lives in semi-desert zone.,阿拉伯狒狒主要生活在半沙漠地带,arab bandits mainly live in semi sand desert areas,arabian baboon mainly lives in semi desert zone,4640.434547901154
正交配置是偏微分方程数值解的一种方法。,Parahleny as an equation for the,Orthogonal collocation is a method for the solution of equations value in partial differential.,正交配置是偏微分方程数值解的一种方法,parahleny as an equation for the,orthogonal collocation is a method for the solution of equations value in partial differential,4640.434547901154
中国药典已被世界卫生组织认定为中国官方药典。,China's key points have been identified by the World Health Organization as China's official key points,Chinese pharmacopeia has been recognized as the Chinese official pharmacopeia by WHO.,中国药典已被世界卫生组织认定为中国官方药典,china s key points have been identified by the world health organization as china s official key points,chinese pharmacopeia has been recognized as the chinese official pharmacopeia by who,4640.434547901154
认定眼前是妖怪无误的两人马上拔出了佩刀。,miscalculated ok I am sure that these two men have deals Sign 눠,"Recognizing the monsters in their front, the two people pulled their walking sabre right away.",认定眼前是妖怪无误的两人马上拔出了佩刀,miscalculated ok i am sure that these two men have deals sign 눠,recognizing the monsters in their front the two people pulled their walking sabre right away,4640.434547901154
西戎是日本将棋的棋子之一。,West Wing is the,Xirong is one of the chess pieces in Japanese chess.,西戎是日本将棋的棋子之一,west wing is the,xirong is one of the chess pieces in japanese chess,4640.434547901154
皮尔格批评了许多主流媒体的记者。,Pierre criticized many mainstream media reporters,Pirg criticized many journalists in the mainstream media.,皮尔格批评了许多主流媒体的记者,pierre criticized many mainstream media reporters,pirg criticized many journalists in the mainstream media,4640.434547901154
属晋熙郡。,Shujing bacteria,It belongs to Pu Xi county.,属晋熙郡,shujing bacteria,it belongs to pu xi county,4640.434547901154
陈立业。,Chan Linyin,Chen Liye.,陈立业,chan linyin,chen liye,4640.434547901154
斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种。,Alloc fikridae Is a species of the NBCIV,Ban Fu Hairpin Aphids is a variation of Hou Hairpin Aphids in Hairpin Aphids family.,斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种,alloc fikridae is a species of the nbciv,ban fu hairpin aphids is a variation of hou hairpin aphids in hairpin aphids family,4640.434547901154
于松迪普瓦图人口变化图示,The population change map ofointed Dibbach,Sondipuwa population change diagram,于松迪普瓦图人口变化图示,the population change map ofointed dibbach,sondipuwa population change diagram,4640.434547901154
鳗鲡楚克拉虫为两极科楚克拉虫属的动物。,Zubat is a polymyongra子,Man Li Chu Ke La Bug is an animal of Chu Ke La Bug in Liang Ji family.,鳗鲡楚克拉虫为两极科楚克拉虫属的动物,zubat is a polymyongra子,man li chu ke la bug is an animal of chu ke la bug in liang ji family,4640.434547901154
新穆德哈尔建筑是摩尔复兴建筑的一种。,Ylay buildings is the,New Mudhar building is one kind of Moore Reviving building.,新穆德哈尔建筑是摩尔复兴建筑的一种,ylay buildings is the,new mudhar building is one kind of moore reviving building,4640.434547901154
山西玄参为玄参科玄参属下的一个种。,Shanxi Xuan Shen is a species of Xuan Shen subordinate of Xuan Shen department,Shanxi Radix Scrophulariae is a variation of Radix Scrophulariae in Radix Scrophulariae family.,山西玄参为玄参科玄参属下的一个种,shanxi xuan shen is a species of xuan shen subordinate of xuan shen department,shanxi radix scrophulariae is a variation of radix scrophulariae in radix scrophulariae family,4640.434547901154
金丝梅为藤黄科金丝桃属下的一个种。,Golden plum beings are an species which belong to Eакс私의其九指 Pluto and butal hysterectomy,Jin Si Mei is a variation of Hypericum Sinense L. in Gamboge family.,金丝梅为藤黄科金丝桃属下的一个种,golden plum beings are an species which belong to eакс私의其九指 pluto and butal hysterectomy,jin si mei is a variation of hypericum sinense l in gamboge family,4640.434547901154
在模型论的范畴内这个证明就更困难了。,"In the scope of model theory, this proof is more difficult.",It is harder to prove in the range of model theory.,在模型论的范畴内这个证明就更困难了,in the scope of model theory this proof is more difficult,it is harder to prove in the range of model theory,4640.434547901154
这些新材料和技术大体上就是物理性质在微尺度上的应用。,These new materials and technologies are generally the application of physics in a low degree of degree,These new materials and technologies are largely the application of physical nature at micro-scale.,这些新材料和技术大体上就是物理性质在微尺度上的应用,these new materials and technologies are generally the application of physics in a low degree of degree,these new materials and technologies are largely the application of physical nature at micro scale,4640.434547901154
节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事。,The program tells the history of the retirement period from the time of the ascension of the Song Hui Zhong to the retirement of the Song High School.,"The program tells a historical story from Song Hui Zong, who succeeded the throne to Song Gao Zong, who abdicated.",节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,the program tells the history of the retirement period from the time of the ascension of the song hui zhong to the retirement of the song high school,the program tells a historical story from song hui zong who succeeded the throne to song gao zong who abdicated,4640.434547901154
黄子芊是班上最具名气的一人。,Huang Zichian is the most famous artist in the class,Huang Zhiqian is one of the most popular students in the class.,黄子芊是班上最具名气的一人,huang zichian is the most famous artist in the class,huang zhiqian is one of the most popular students in the class,4640.434547901154
哈拉尔三世可以指,Halal 30 can be straight,Harral III refers to,哈拉尔三世可以指,halal 30 can be straight,harral iii refers to,4640.434547901154
二水车站亦为集集线的起点。,The starting point of Ershui Railway Station is Jijixian,Er Shui station is also the starting point of Jiji Line.,二水车站亦为集集线的起点,the starting point of ershui railway station is jijixian,er shui station is also the starting point of jiji line,4640.434547901154
科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园。,Kebukku National Park is also the least visited national park in the United States.,Koberk Valley Nationg Park has the lest number of tourist among American National Park.,科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园,kebukku national park is also the least visited national park in the united states,koberk valley nationg park has the lest number of tourist among american national park,4640.434547901154
治所在怀道县。,Located in Huai Dao County,Zhisuo is located at Qing Huai county.,治所在怀道县,located in huai dao county,zhisuo is located at qing huai county,4640.434547901154
达拉斯龙具有许多自衍征。,There are many self-examination in Dallas Long,Dallas Dragon has many derivative symptoms.,达拉斯龙具有许多自衍征,there are many self examination in dallas long,dallas dragon has many derivative symptoms,4640.434547901154
绳金塔始建于唐朝天佑年间。,The Shengjing Tower was built in the Tianyou period of Tang Dynasty,"Shengji Tower was first built in the years of Tian You, Tang Dynasty.",绳金塔始建于唐朝天佑年间,the shengjing tower was built in the tianyou period of tang dynasty,shengji tower was first built in the years of tian you tang dynasty,4640.434547901154
此外，多位积极的活动家也参与了典礼。,"In addition, many active activists also participated in the ceremony.","In addition, many active activists also participated in the ceremony.",此外 多位积极的活动家也参与了典礼,in addition many active activists also participated in the ceremony,in addition many active activists also participated in the ceremony,4640.434547901154
案中三名被告分别是莫世健、李玉培及杨曼曼，当中李玉培和杨曼曼为从犯。,The three defendants in the case are Li Yupai and Yang Manman. Li Yupai and Yang Manman are the perpetrators.,"The defendants in this case were Mo Shijian, and the accessories Li Yupei and Yang Manman.",案中三名被告分别是莫世健 李玉培及杨曼曼 当中李玉培和杨曼曼为从犯,the three defendants in the case are li yupai and yang manman li yupai and yang manman are the perpetrators,the defendants in this case were mo shijian and the accessories li yupei and yang manman,4640.434547901154
而零声母符号表示。,spiritually,And zero consonant refers to.,而零声母符号表示,spiritually,and zero consonant refers to,4640.434547901154
过去的研究报告以及来源借助于新科技数位人类学的帮助。,The past research reports and sources are based on the help of new technology digital humanities.,Previous research reports and sources were based on new technology of digital anthropology.,过去的研究报告以及来源借助于新科技数位人类学的帮助,the past research reports and sources are based on the help of new technology digital humanities,previous research reports and sources were based on new technology of digital anthropology,4640.434547901154
哈德利也设计了位于皮尔斯县的。,Hadley also designed a,Hadley also designed the in Pierce county.,哈德利也设计了位于皮尔斯县的,hadley also designed a,hadley also designed the in pierce county,4640.434547901154
在义大利，摩托车也在低排放区的适用范围之内。,"In Italy, motorcycles are also within the range of low-end areas.","In Italy, motorcycles are also covered in low emission list.",在义大利 摩托车也在低排放区的适用范围之内,in italy motorcycles are also within the range of low end areas,in italy motorcycles are also covered in low emission list,4640.434547901154
杰罗姆·鲍威尔，出身法律界，曾任律师、投资银行家。,"Jerome Powell, a lawyer and investor in the legal world",Jerome Powell was from legal industry and used to be a lawyer and investment banker.,杰罗姆 鲍威尔 出身法律界 曾任律师 投资银行家,jerome powell a lawyer and investor in the legal world,jerome powell was from legal industry and used to be a lawyer and investment banker,4640.434547901154
季子可以指：,妓子可以指 Jiizi keyi zhi,Ji Zi can refer to:,季子可以指,妓子可以指 jiizi keyi zhi,ji zi can refer to,4640.434547901154
这给他游遍中国的机会并跟随一个老派的儒学人士学习中文。,This gives him a chance to travel around China and learn Chinese with an old-fashioned scholar.,This gave him the opportunity to travel extensively in China and time to study Chinese with an old-fashioned Confucian scholar.,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,this gives him a chance to travel around china and learn chinese with an old fashioned scholar,this gave him the opportunity to travel extensively in china and time to study chinese with an old fashioned confucian scholar,4640.434547901154
他杀害的女性多为按摩女。,The women he killed were all massage girls,The women he killed are mostly masseurs.,他杀害的女性多为按摩女,the women he killed were all massage girls,the women he killed are mostly masseurs,4640.434547901154
乐团经常尝试从电脑上其他音乐档案重新创作拍子，最后呈现出原有节奏的修改版本。,"The band often tries to recreate the beat from other music files on the computer Finally, the modified version with the original rhythm is presented.","The orchestra often tries to recreate the beat from other music files on the computer, and finally presents a modified version of the original rhythm.",乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,the band often tries to recreate the beat from other music files on the computer finally the modified version with the original rhythm is presented,the orchestra often tries to recreate the beat from other music files on the computer and finally presents a modified version of the original rhythm,4640.434547901154
赛巴斯提阿诺·维涅尔，是一名意大利政治家和军事家。,Sebastiano Vignier is an Italian politician and military man,Sebastiano Vener is an Italian politician and strategist.,赛巴斯提阿诺 维涅尔 是一名意大利政治家和军事家,sebastiano vignier is an italian politician and military man,sebastiano vener is an italian politician and strategist,4640.434547901154
所有泛美洲羽毛球联合会辖下的会员都具有参赛资格。,All members of Fanmeizhou's Yumao Ball Joint Association have the qualification to participate in the competition.,All members of the Badminton Pan Am are eligible to participate the competition.,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,all members of fanmeizhou s yumao ball joint association have the qualification to participate in the competition,all members of the badminton pan am are eligible to participate the competition,4640.434547901154
嘉靖四十一年，登进士第二甲第四十六名。,"During Jiajing April 9, 1941, DD Yang is the 46th XI rank.","In the 41st year of Jiajing, he was ranked 46th among the 2nd-tier Jinshi Scholars.",嘉靖四十一年 登进士第二甲第四十六名,during jiajing april 9 1941 dd yang is the 46th xi rank,in the 41st year of jiajing he was ranked 46th among the 2nd tier jinshi scholars,4640.434547901154
遂被押于文登监狱，后转至山东省反省院。,Sui was imprisoned in a prison in Wendeng Then transferred to Shandong Provincial Reconciliation Court,Then he was detained in Wendeng prison and transferred to Shandong Provincial introspection hospital.,遂被押于文登监狱 后转至山东省反省院,sui was imprisoned in a prison in wendeng then transferred to shandong provincial reconciliation court,then he was detained in wendeng prison and transferred to shandong provincial introspection hospital,4640.434547901154
赵德光可以是指：,Zhao Deguang can be a paper,Zhao Deguang may refer to:,赵德光可以是指,zhao deguang can be a paper,zhao deguang may refer to,4640.434547901154
在位三十年去世，谥号严。,The death of the 30-year-old Shi Haoyan,He died in his thirtieth year in office with a posthumous title of Yan.,在位三十年去世 谥号严,the death of the 30 year old shi haoyan,he died in his thirtieth year in office with a posthumous title of yan,4640.434547901154
周继，字善卿，山东济南府历城县人，民籍，明朝政治人物、进士出身。,"Zhou Ji, born in Shanching, Jinan, Shandong Province, born in Lichan County, Ming Dynasty, a political figure of the Ming Dynasty,","Zhou Ji, style name as Shanqing, a native of Licheng County, Jinan Prefecture, Shandong, citizenship, was a political figure and Jinshi in the Ming Dynasty.",周继 字善卿 山东济南府历城县人 民籍 明朝政治人物 进士出身,zhou ji born in shanching jinan shandong province born in lichan county ming dynasty a political figure of the ming dynasty,zhou ji style name as shanqing a native of licheng county jinan prefecture shandong citizenship was a political figure and jinshi in the ming dynasty,4640.434547901154
成都博物馆通过其官网和官方微博账号发布博物馆动态。,Chengdu Museum releases the dynamic of the museum through its official website and official Weibo account.,Chengdu Museum releases Museum’s information over its website and official weibo account.,成都博物馆通过其官网和官方微博账号发布博物馆动态,chengdu museum releases the dynamic of the museum through its official website and official weibo account,chengdu museum releases museum s information over its website and official weibo account,4640.434547901154
该御瓷厂主要服务于皇家，其生产出的作品常作为礼物赠送给外国政要。,The jade magnetic field serves the royal family. The works produced by the jade magnetic field are often used as gifts and given to foreign politicians.,The imperial porcelain factory mainly served the royal family and its works were often used as gifts to foreign dignitaries.,该御瓷厂主要服务于皇家 其生产出的作品常作为礼物赠送给外国政要,the jade magnetic field serves the royal family the works produced by the jade magnetic field are often used as gifts and given to foreign politicians,the imperial porcelain factory mainly served the royal family and its works were often used as gifts to foreign dignitaries,4640.434547901154
类似的目击还发生过多次，其中不乏受尊重人士。,"Similar sightings have happened many times, some of which are respected.",The similar sightings were reported several times even by the celebrities.,类似的目击还发生过多次 其中不乏受尊重人士,similar sightings have happened many times some of which are respected,the similar sightings were reported several times even by the celebrities,4640.434547901154
李承选，字俊卿，河南开封府延津县人，民籍，明朝政治人物、进士出身。,"Li Chenxuan, born in Junqing, Henan, Kaifeng Prefecture, Yanjing County, is a famous political figure of the Ming Dynasty.","Li Chengxuan, alias Junqing, a native of Yanjin County of Kaifeng Prefecture, Henan Province, civilian, was a political figure and Jinshi Scholar in the Ming dynasty.",李承选 字俊卿 河南开封府延津县人 民籍 明朝政治人物 进士出身,li chenxuan born in junqing henan kaifeng prefecture yanjing county is a famous political figure of the ming dynasty,li chengxuan alias junqing a native of yanjin county of kaifeng prefecture henan province civilian was a political figure and jinshi scholar in the ming dynasty,4640.434547901154
黄辉祥华裔商人、运动员。,"Huang Huixiang, Chinese businessman, athlete","Huanghui Xiang Chinese businessmen, athlete.",黄辉祥华裔商人 运动员,huang huixiang chinese businessman athlete,huanghui xiang chinese businessmen athlete,4640.434547901154
北戴河近代建筑群主要包括：已毁的着名近代建筑有：,The north and the modern architecture groups mainly include The famous modern architecture in Yihui has,Beidaihe modern architecture complex mainly includes: the famous destroyed modern buildings are:,北戴河近代建筑群主要包括 已毁的着名近代建筑有,the north and the modern architecture groups mainly include the famous modern architecture in yihui has,beidaihe modern architecture complex mainly includes the famous destroyed modern buildings are,4640.434547901154
周宇女，湖北省武汉市人，中华人民共和国外交部官员，中共十九大代表。,"Zhou Yunyu, from Wuhan, Hubei Province Chinese People's Republic of China Foreign Ministry official 19th Chinese Communist Party representative","Zhou Yunu, born in Wuhan, Hubei Province, is an official of the ministry of foreign affairs of the People's Republic of China and the deputy of the nineteenth National Congress of the Communist Party of China.",周宇女 湖北省武汉市人 中华人民共和国外交部官员 中共十九大代表,zhou yunyu from wuhan hubei province chinese people s republic of china foreign ministry official 19th chinese communist party representative,zhou yunu born in wuhan hubei province is an official of the ministry of foreign affairs of the people s republic of china and the deputy of the nineteenth national congress of the communist party of china,4640.434547901154
属安定郡。,Sh��antyeong,belongs to Anding County,属安定郡,sh antyeong,belongs to anding county,4640.434547901154
现在这座建筑是弗雷德里克·萧邦学会的所在地，并且也是萧邦博物馆的展馆建筑。,"This building is the site of the Friedrich-Hellberg-Schloss, and also the exhibition building of the Hellberg Museum.",Now this building is the site of Frederick Chopin society and the exhibition hall of Chopin Museum.,现在这座建筑是弗雷德里克 萧邦学会的所在地 并且也是萧邦博物馆的展馆建筑,this building is the site of the friedrich hellberg schloss and also the exhibition building of the hellberg museum,now this building is the site of frederick chopin society and the exhibition hall of chopin museum,4640.434547901154
在第五次“围剿”中，根据地被敌占领。,"In the fifth corner, the base was occupied by the enemy.","In the Fifth Encirclement Campaign against Jiangxi Soviet, the base was occupied by the enemy.",在第五次 围剿 中 根据地被敌占领,in the fifth corner the base was occupied by the enemy,in the fifth encirclement campaign against jiangxi soviet the base was occupied by the enemy,4640.434547901154
开平路街道是中国山东省青岛市市北区下辖的一个街道。,"Taiping Road Street is a street in Qingdao City, Shandong Province, China, north to the lower alley.","Kaiping street is a street under the jurisdiction of Shibei District, Qingdao, Shandong, China.",开平路街道是中国山东省青岛市市北区下辖的一个街道,taiping road street is a street in qingdao city shandong province china north to the lower alley,kaiping street is a street under the jurisdiction of shibei district qingdao shandong china,4640.434547901154
北魏设僧统，又名沙门统、都统等，是全国僧团最高领袖。,"North Wei Shesen Tong, also known as Shamen Tong, Dutong, etc. Is the top leader of the whole country's monks","In the Northern Wei Dynasty, there was Sengtong, also known as Samana Tong, Du Tong, which was the highest leader of the Sangha in China.",北魏设僧统 又名沙门统 都统等 是全国僧团最高领袖,north wei shesen tong also known as shamen tong dutong etc is the top leader of the whole country s monks,in the northern wei dynasty there was sengtong also known as samana tong du tong which was the highest leader of the sangha in china,4640.434547901154
许乃番，浙江仁和人，清朝政治人物。,"Xu Naifan, a political figure in Qing Dynasty","Xu Naifan, a native in Rehe, Zhejiang, was a political figure in the Qing Dynasty.",许乃番 浙江仁和人 清朝政治人物,xu naifan a political figure in qing dynasty,xu naifan a native in rehe zhejiang was a political figure in the qing dynasty,4640.434547901154
上海出租车，是指在中国上海市行政区域内行驶和运营的出租车。,Shanghai taxi is a taxi that runs and operates in the Shanghai Municipal Administrative Area of China.,"Shanghai taxi"" refers to taxis that being driven and operated in the administrative of Shanghai, China.",上海出租车 是指在中国上海市行政区域内行驶和运营的出租车,shanghai taxi is a taxi that runs and operates in the shanghai municipal administrative area of china,shanghai taxi refers to taxis that being driven and operated in the administrative of shanghai china,4640.434547901154
孙正东，安徽灵璧人，汉族，中国共产党党员。,"Sun Zhengdong, Anhui Linbi, Chinese Communist Party member","Sun Zhengdong, a native of Lingbi, Anhui, Han Chinese, Chinese Communist Party.",孙正东 安徽灵璧人 汉族 中国共产党党员,sun zhengdong anhui linbi chinese communist party member,sun zhengdong a native of lingbi anhui han chinese chinese communist party,4640.434547901154
南瓜妮歌迷俱乐部组成。,is formed by the Nan,Formed by the Pumpkinney Fan Club,南瓜妮歌迷俱乐部组成,is formed by the nan,formed by the pumpkinney fan club,4640.434547901154
既用排满之说疑误满人，更借灭汉之说激耸汉人，离间谗构狡谲已极。,"既用排滿之說一物滿人,更藉滅漢之說雞走漢人,離間禪構,皎絕已及。","With the argument of “opposing Manchurian” and the argument of “destroying Han” to stimulate the Han people, reflected the crafty and treacherous wedge between two parties.",既用排满之说疑误满人 更借灭汉之说激耸汉人 离间谗构狡谲已极,既用排滿之說一物滿人 更藉滅漢之說雞走漢人 離間禪構 皎絕已及,with the argument of opposing manchurian and the argument of destroying han to stimulate the han people reflected the crafty and treacherous wedge between two parties,4640.434547901154
吉林省图书馆成立于清宣统元年，馆舍设在当时的吉林省府所在地吉林市。,"The Jilin Provincial Library was established in the Qing Dynasty, and the museum was located in Jilin City, where the Jilin Provincial Government was located at that time.","Jilin provincial library was founded in the first year of Xuantong in Qing Dynasty, and its premises were located in Jilin City, the capital of Jilin Province at that time.",吉林省图书馆成立于清宣统元年 馆舍设在当时的吉林省府所在地吉林市,the jilin provincial library was established in the qing dynasty and the museum was located in jilin city where the jilin provincial government was located at that time,jilin provincial library was founded in the first year of xuantong in qing dynasty and its premises were located in jilin city the capital of jilin province at that time,4640.434547901154
流浪动物花园，全称中华民国流浪动物花园协会，是台湾的一个动物保护组织。,"The Wanderer's Garden, also known as the Wanderer's Garden Association of the Republic of China, is a Taiwan animal protection organization.","Doghome, full name of the association of stray animal garden of Taiwan, is an animal protection organization in Taiwan.",流浪动物花园 全称中华民国流浪动物花园协会 是台湾的一个动物保护组织,the wanderer s garden also known as the wanderer s garden association of the republic of china is a taiwan animal protection organization,doghome full name of the association of stray animal garden of taiwan is an animal protection organization in taiwan,4640.434547901154
中华民国成立后，在英属加拿大设置总领事馆。,"After the establishment of the Republic of China, the British and Scottish Canada set up the General Consulate.","After the founding of the Republic of China, a consulate general was established in British Canada.",中华民国成立后 在英属加拿大设置总领事馆,after the establishment of the republic of china the british and scottish canada set up the general consulate,after the founding of the republic of china a consulate general was established in british canada,4640.434547901154
然而，在一般的条件下，最小充分统计量总是存在的。,"However, under general conditions, minimum sufficient statistics always exist.","However, under general conditions, the minimum sufficient statistics always exist.",然而 在一般的条件下 最小充分统计量总是存在的,however under general conditions minimum sufficient statistics always exist,however under general conditions the minimum sufficient statistics always exist,4640.434547901154
日军将三式炮战车定位为自走炮兼驱逐战车。,The Japanese positioned the three-carrier cannon as a self-propelled cannon and a destroyer.,The Japanese positioned the three gun chariot as a self-propelled gun and destroyer.,日军将三式炮战车定位为自走炮兼驱逐战车,the japanese positioned the three carrier cannon as a self propelled cannon and a destroyer,the japanese positioned the three gun chariot as a self propelled gun and destroyer,4640.434547901154
高庄可以指：,High-end can mean,Gaozhuang may refer to:,高庄可以指,high end can mean,gaozhuang may refer to,4640.434547901154
