sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
明朝官员。,Ming Dynasty officials,Officials in Ming Dynasty.,明朝官员,ming dynasty officials,officials in ming dynasty,4191.862732887268
他曾经在哥伦比亚大学执教。,He used to teach at Columbia University,He has been teaching in Columbia University.,他曾经在哥伦比亚大学执教,he used to teach at columbia university,he has been teaching in columbia university,4191.862732887268
武田信吉。,FIVE DILUCTUAL Biennial,Takeda Shinji.,武田信吉,five diluctual biennial,takeda shinji,4191.862732887268
但苹果后来批准该应用发布更新。,But Apple later approved the application to be released and updated.,But Apple later approved the updating of this app.,但苹果后来批准该应用发布更新,but apple later approved the application to be released and updated,but apple later approved the updating of this app,4191.862732887268
他在奥尔巴尼大学有教育和法文双教授衔。,He has a teaching and French double professor degree at the University of Albany.,He is reputed as professors in education and French in Albany University.,他在奥尔巴尼大学有教育和法文双教授衔,he has a teaching and french double professor degree at the university of albany,he is reputed as professors in education and french in albany university,4191.862732887268
该枪面向民用娱乐射击市场。,The gun is facing the private entertainment shooting market,This gun can be sold in the entertainment-oriented shooting market.,该枪面向民用娱乐射击市场,the gun is facing the private entertainment shooting market,this gun can be sold in the entertainment oriented shooting market,4191.862732887268
阿拉伯狒狒主要生活在半沙漠地带。,Arab bandits mainly live in desert areas,Arabian baboon mainly lives in semi-desert zone.,阿拉伯狒狒主要生活在半沙漠地带,arab bandits mainly live in desert areas,arabian baboon mainly lives in semi desert zone,4191.862732887268
正交配置是偏微分方程数值解的一种方法。,"Activate block , reply , slash Under Effects is arettive and",Orthogonal collocation is a method for the solution of equations value in partial differential.,正交配置是偏微分方程数值解的一种方法,activate block reply slash under effects is arettive and,orthogonal collocation is a method for the solution of equations value in partial differential,4191.862732887268
中国药典已被世界卫生组织认定为中国官方药典。,China's key points have been identified by the World Health Organization as China's official key points,Chinese pharmacopeia has been recognized as the Chinese official pharmacopeia by WHO.,中国药典已被世界卫生组织认定为中国官方药典,china s key points have been identified by the world health organization as china s official key points,chinese pharmacopeia has been recognized as the chinese official pharmacopeia by who,4191.862732887268
认定眼前是妖怪无误的两人马上拔出了佩刀。,The two people who are sure to be the monster in front of them immediately pulled out the sword,"Recognizing the monsters in their front, the two people pulled their walking sabre right away.",认定眼前是妖怪无误的两人马上拔出了佩刀,the two people who are sure to be the monster in front of them immediately pulled out the sword,recognizing the monsters in their front the two people pulled their walking sabre right away,4191.862732887268
西戎是日本将棋的棋子之一。,Shiro is one of the chess pieces of Japanese chess.,Xirong is one of the chess pieces in Japanese chess.,西戎是日本将棋的棋子之一,shiro is one of the chess pieces of japanese chess,xirong is one of the chess pieces in japanese chess,4191.862732887268
皮尔格批评了许多主流媒体的记者。,P2 criticized many mainstream media reporters,Pirg criticized many journalists in the mainstream media.,皮尔格批评了许多主流媒体的记者,p2 criticized many mainstream media reporters,pirg criticized many journalists in the mainstream media,4191.862732887268
属晋熙郡。,세 Japanese,It belongs to Pu Xi county.,属晋熙郡,세 japanese,it belongs to pu xi county,4191.862732887268
陈立业。,Chen Liye,Chen Liye.,陈立业,chen liye,chen liye,4191.862732887268
斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种。,Banfu scalp tooth Is a species under the explode of the enc reconnaissance tooth,Ban Fu Hairpin Aphids is a variation of Hou Hairpin Aphids in Hairpin Aphids family.,斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种,banfu scalp tooth is a species under the explode of the enc reconnaissance tooth,ban fu hairpin aphids is a variation of hou hairpin aphids in hairpin aphids family,4191.862732887268
于松迪普瓦图人口变化图示,disk returned to the original user the error style,Sondipuwa population change diagram,于松迪普瓦图人口变化图示,disk returned to the original user the error style,sondipuwa population change diagram,4191.862732887268
鳗鲡楚克拉虫为两极科楚克拉虫属的动物。,Manly Chukra is the animal of two Chukra rats.,Man Li Chu Ke La Bug is an animal of Chu Ke La Bug in Liang Ji family.,鳗鲡楚克拉虫为两极科楚克拉虫属的动物,manly chukra is the animal of two chukra rats,man li chu ke la bug is an animal of chu ke la bug in liang ji family,4191.862732887268
新穆德哈尔建筑是摩尔复兴建筑的一种。,Schimmelder dollar architecture is a network offighting constructions,New Mudhar building is one kind of Moore Reviving building.,新穆德哈尔建筑是摩尔复兴建筑的一种,schimmelder dollar architecture is a network offighting constructions,new mudhar building is one kind of moore reviving building,4191.862732887268
山西玄参为玄参科玄参属下的一个种。,Shanxi Xuan Sheng is a species under the Xuan Sheng tree of Xuan Sheng,Shanxi Radix Scrophulariae is a variation of Radix Scrophulariae in Radix Scrophulariae family.,山西玄参为玄参科玄参属下的一个种,shanxi xuan sheng is a species under the xuan sheng tree of xuan sheng,shanxi radix scrophulariae is a variation of radix scrophulariae in radix scrophulariae family,4191.862732887268
金丝梅为藤黄科金丝桃属下的一个种。,The golden блок is a ancestor ofikema Break,Jin Si Mei is a variation of Hypericum Sinense L. in Gamboge family.,金丝梅为藤黄科金丝桃属下的一个种,the golden блок is a ancestor ofikema break,jin si mei is a variation of hypericum sinense l in gamboge family,4191.862732887268
在模型论的范畴内这个证明就更困难了。,This is more difficult to prove in the scope of model theory.,It is harder to prove in the range of model theory.,在模型论的范畴内这个证明就更困难了,this is more difficult to prove in the scope of model theory,it is harder to prove in the range of model theory,4191.862732887268
这些新材料和技术大体上就是物理性质在微尺度上的应用。,These new materials and technologies are basically physical applications on micro-spectrum.,These new materials and technologies are largely the application of physical nature at micro-scale.,这些新材料和技术大体上就是物理性质在微尺度上的应用,these new materials and technologies are basically physical applications on micro spectrum,these new materials and technologies are largely the application of physical nature at micro scale,4191.862732887268
节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事。,The program tells the history of the period from the end of Song Hui to the end of Song Gaozong,"The program tells a historical story from Song Hui Zong, who succeeded the throne to Song Gao Zong, who abdicated.",节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,the program tells the history of the period from the end of song hui to the end of song gaozong,the program tells a historical story from song hui zong who succeeded the throne to song gao zong who abdicated,4191.862732887268
黄子芊是班上最具名气的一人。,Huang Ziqian is the most famous artist on the class,Huang Zhiqian is one of the most popular students in the class.,黄子芊是班上最具名气的一人,huang ziqian is the most famous artist on the class,huang zhiqian is one of the most popular students in the class,4191.862732887268
哈拉尔三世可以指,Halal 30 can be counted,Harral III refers to,哈拉尔三世可以指,halal 30 can be counted,harral iii refers to,4191.862732887268
二水车站亦为集集线的起点。,The second water station is also the starting point of the G-line,Er Shui station is also the starting point of Jiji Line.,二水车站亦为集集线的起点,the second water station is also the starting point of the g line,er shui station is also the starting point of jiji line,4191.862732887268
科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园。,The Kerbork Valley National Park is also the least visited park in the United States,Koberk Valley Nationg Park has the lest number of tourist among American National Park.,科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园,the kerbork valley national park is also the least visited park in the united states,koberk valley nationg park has the lest number of tourist among american national park,4191.862732887268
治所在怀道县。,The address is in Huai Dao County,Zhisuo is located at Qing Huai county.,治所在怀道县,the address is in huai dao county,zhisuo is located at qing huai county,4191.862732887268
达拉斯龙具有许多自衍征。,D'Arcelon has many self-proclaimed symptoms,Dallas Dragon has many derivative symptoms.,达拉斯龙具有许多自衍征,d arcelon has many self proclaimed symptoms,dallas dragon has many derivative symptoms,4191.862732887268
绳金塔始建于唐朝天佑年间。,The crystal tower was built between the times of the Tang Dynasty,"Shengji Tower was first built in the years of Tian You, Tang Dynasty.",绳金塔始建于唐朝天佑年间,the crystal tower was built between the times of the tang dynasty,shengji tower was first built in the years of tian you tang dynasty,4191.862732887268
此外，多位积极的活动家也参与了典礼。,"In addition, active organizers also participated in the ceremony","In addition, many active activists also participated in the ceremony.",此外 多位积极的活动家也参与了典礼,in addition active organizers also participated in the ceremony,in addition many active activists also participated in the ceremony,4191.862732887268
案中三名被告分别是莫世健、李玉培及杨曼曼，当中李玉培和杨曼曼为从犯。,"The three defendants in the case are Mo Shijian, Li Yupai and Yang Manman. Among them, Li Yupai and Yang Manman are the suspects.","The defendants in this case were Mo Shijian, and the accessories Li Yupei and Yang Manman.",案中三名被告分别是莫世健 李玉培及杨曼曼 当中李玉培和杨曼曼为从犯,the three defendants in the case are mo shijian li yupai and yang manman among them li yupai and yang manman are the suspects,the defendants in this case were mo shijian and the accessories li yupei and yang manman,4191.862732887268
而零声母符号表示。,而林生五符号表示。,And zero consonant refers to.,而零声母符号表示,而林生五符号表示,and zero consonant refers to,4191.862732887268
过去的研究报告以及来源借助于新科技数位人类学的帮助。,過去的研究報告以及來源 借助於新科技數位人類學的幫助,Previous research reports and sources were based on new technology of digital anthropology.,过去的研究报告以及来源借助于新科技数位人类学的帮助,過去的研究報告以及來源 借助於新科技數位人類學的幫助,previous research reports and sources were based on new technology of digital anthropology,4191.862732887268
哈德利也设计了位于皮尔斯县的。,Hadley also designed the location of the Pierce line,Hadley also designed the in Pierce county.,哈德利也设计了位于皮尔斯县的,hadley also designed the location of the pierce line,hadley also designed the in pierce county,4191.862732887268
在义大利，摩托车也在低排放区的适用范围之内。,"In Italy, motorcycles are also in the range of use in low-end areas.","In Italy, motorcycles are also covered in low emission list.",在义大利 摩托车也在低排放区的适用范围之内,in italy motorcycles are also in the range of use in low end areas,in italy motorcycles are also covered in low emission list,4191.862732887268
杰罗姆·鲍威尔，出身法律界，曾任律师、投资银行家。,"Jelom Bauer, born in the legal world, was a lawyer and an investment banker.",Jerome Powell was from legal industry and used to be a lawyer and investment banker.,杰罗姆 鲍威尔 出身法律界 曾任律师 投资银行家,jelom bauer born in the legal world was a lawyer and an investment banker,jerome powell was from legal industry and used to be a lawyer and investment banker,4191.862732887268
季子可以指：,semiconductor transgerendra,Ji Zi can refer to:,季子可以指,semiconductor transgerendra,ji zi can refer to,4191.862732887268
这给他游遍中国的机会并跟随一个老派的儒学人士学习中文。,This gives him the opportunity to travel around China and learn Chinese with an old school Chinese teacher.,This gave him the opportunity to travel extensively in China and time to study Chinese with an old-fashioned Confucian scholar.,这给他游遍中国的机会并跟随一个老派的儒学人士学习中文,this gives him the opportunity to travel around china and learn chinese with an old school chinese teacher,this gave him the opportunity to travel extensively in china and time to study chinese with an old fashioned confucian scholar,4191.862732887268
他杀害的女性多为按摩女。,The woman he killed was a massage girl.,The women he killed are mostly masseurs.,他杀害的女性多为按摩女,the woman he killed was a massage girl,the women he killed are mostly masseurs,4191.862732887268
乐团经常尝试从电脑上其他音乐档案重新创作拍子，最后呈现出原有节奏的修改版本。,"The band often tries to re-create the beat from computer to other music files, and finally present the original beat correction version.","The orchestra often tries to recreate the beat from other music files on the computer, and finally presents a modified version of the original rhythm.",乐团经常尝试从电脑上其他音乐档案重新创作拍子 最后呈现出原有节奏的修改版本,the band often tries to re create the beat from computer to other music files and finally present the original beat correction version,the orchestra often tries to recreate the beat from other music files on the computer and finally presents a modified version of the original rhythm,4191.862732887268
赛巴斯提阿诺·维涅尔，是一名意大利政治家和军事家。,Sebas Tiano Vignel is an Italian politician and military man,Sebastiano Vener is an Italian politician and strategist.,赛巴斯提阿诺 维涅尔 是一名意大利政治家和军事家,sebas tiano vignel is an italian politician and military man,sebastiano vener is an italian politician and strategist,4191.862732887268
所有泛美洲羽毛球联合会辖下的会员都具有参赛资格。,All members of Fanmeizhou and Maoqiu Union are eligible to participate in the competition,All members of the Badminton Pan Am are eligible to participate the competition.,所有泛美洲羽毛球联合会辖下的会员都具有参赛资格,all members of fanmeizhou and maoqiu union are eligible to participate in the competition,all members of the badminton pan am are eligible to participate the competition,4191.862732887268
