sentence,hypothesis,translation,clean_sentence,clean_hypothesis,clean_translation,training_time
明朝官员。,return to<|en|>,Officials in Ming Dynasty.,明朝官员,return to,officials in ming dynasty,4363.90380191803
他曾经在哥伦比亚大学执教。,"from now, speak chinese",He has been teaching in Columbia University.,他曾经在哥伦比亚大学执教,from now speak chinese,he has been teaching in columbia university,4363.90380191803
武田信吉。,Silver,Takeda Shinji.,武田信吉,silver,takeda shinji,4363.90380191803
但苹果后来批准该应用发布更新。,But when apple NarrowPyrad forum phone making,But Apple later approved the updating of this app.,但苹果后来批准该应用发布更新,but when apple narrowpyrad forum phone making,but apple later approved the updating of this app,4363.90380191803
他在奥尔巴尼大学有教育和法文双教授衔。,He Downloads Electronic Comp findaki,He is reputed as professors in education and French in Albany University.,他在奥尔巴尼大学有教育和法文双教授衔,he downloads electronic comp findaki,he is reputed as professors in education and french in albany university,4363.90380191803
该枪面向民用娱乐射击市场。,To make the upper jaw sharp.,This gun can be sold in the entertainment-oriented shooting market.,该枪面向民用娱乐射击市场,to make the upper jaw sharp,this gun can be sold in the entertainment oriented shooting market,4363.90380191803
阿拉伯狒狒主要生活在半沙漠地带。,Ala bod sh vol to live is sovor,Arabian baboon mainly lives in semi-desert zone.,阿拉伯狒狒主要生活在半沙漠地带,ala bod sh vol to live is sovor,arabian baboon mainly lives in semi desert zone,4363.90380191803
正交配置是偏微分方程数值解的一种方法。,The correct mastery is using the,Orthogonal collocation is a method for the solution of equations value in partial differential.,正交配置是偏微分方程数值解的一种方法,the correct mastery is using the,orthogonal collocation is a method for the solution of equations value in partial differential,4363.90380191803
中国药典已被世界卫生组织认定为中国官方药典。,Chinese medical hospital was once a vital on International Energy Agency group that believed that China is in the healthcare hospital,Chinese pharmacopeia has been recognized as the Chinese official pharmacopeia by WHO.,中国药典已被世界卫生组织认定为中国官方药典,chinese medical hospital was once a vital on international energy agency group that believed that china is in the healthcare hospital,chinese pharmacopeia has been recognized as the chinese official pharmacopeia by who,4363.90380191803
认定眼前是妖怪无误的两人马上拔出了佩刀。,previously a figure 12 Currently was completely destroyed by enemies,"Recognizing the monsters in their front, the two people pulled their walking sabre right away.",认定眼前是妖怪无误的两人马上拔出了佩刀,previously a figure 12 currently was completely destroyed by enemies,recognizing the monsters in their front the two people pulled their walking sabre right away,4363.90380191803
西戎是日本将棋的棋子之一。,Xi Rong lived in the Red Gate in Japan,Xirong is one of the chess pieces in Japanese chess.,西戎是日本将棋的棋子之一,xi rong lived in the red gate in japan,xirong is one of the chess pieces in japanese chess,4363.90380191803
皮尔格批评了许多主流媒体的记者。,2. Much of the parts of the Fusion Main Series,Pirg criticized many journalists in the mainstream media.,皮尔格批评了许多主流媒体的记者,2 much of the parts of the fusion main series,pirg criticized many journalists in the mainstream media,4363.90380191803
属晋熙郡。,Hand in the West,It belongs to Pu Xi county.,属晋熙郡,hand in the west,it belongs to pu xi county,4363.90380191803
陈立业。,More power,Chen Liye.,陈立业,more power,chen liye,4363.90380191803
斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种。,Soil yaks later,Ban Fu Hairpin Aphids is a variation of Hou Hairpin Aphids in Hairpin Aphids family.,斑腹毛管蚜为毛管蚜科后毛管蚜属下的一个种,soil yaks later,ban fu hairpin aphids is a variation of hou hairpin aphids in hairpin aphids family,4363.90380191803
于松迪普瓦图人口变化图示,Video soft to work out텐s,Sondipuwa population change diagram,于松迪普瓦图人口变化图示,video soft to work out텐s,sondipuwa population change diagram,4363.90380191803
鳗鲡楚克拉虫为两极科楚克拉虫属的动物。,gaining arm more strength back up,Man Li Chu Ke La Bug is an animal of Chu Ke La Bug in Liang Ji family.,鳗鲡楚克拉虫为两极科楚克拉虫属的动物,gaining arm more strength back up,man li chu ke la bug is an animal of chu ke la bug in liang ji family,4363.90380191803
新穆德哈尔建筑是摩尔复兴建筑的一种。,Tehron is a Waters answer,New Mudhar building is one kind of Moore Reviving building.,新穆德哈尔建筑是摩尔复兴建筑的一种,tehron is a waters answer,new mudhar building is one kind of moore reviving building,4363.90380191803
山西玄参为玄参科玄参属下的一个种。,Make a pop pan for a swan,Shanxi Radix Scrophulariae is a variation of Radix Scrophulariae in Radix Scrophulariae family.,山西玄参为玄参科玄参属下的一个种,make a pop pan for a swan,shanxi radix scrophulariae is a variation of radix scrophulariae in radix scrophulariae family,4363.90380191803
金丝梅为藤黄科金丝桃属下的一个种。,اسay meiwei tatong and transparency,Jin Si Mei is a variation of Hypericum Sinense L. in Gamboge family.,金丝梅为藤黄科金丝桃属下的一个种,اسay meiwei tatong and transparency,jin si mei is a variation of hypericum sinense l in gamboge family,4363.90380191803
在模型论的范畴内这个证明就更困难了。,In the pulse of the terminology This account will be more binary,It is harder to prove in the range of model theory.,在模型论的范畴内这个证明就更困难了,in the pulse of the terminology this account will be more binary,it is harder to prove in the range of model theory,4363.90380191803
这些新材料和技术大体上就是物理性质在微尺度上的应用。,These new materials and remember the quantity of the ones on theuesday are the��al assistants in musical instruments,These new materials and technologies are largely the application of physical nature at micro-scale.,这些新材料和技术大体上就是物理性质在微尺度上的应用,these new materials and remember the quantity of the ones on theuesday are the al assistants in musical instruments,these new materials and technologies are largely the application of physical nature at micro scale,4363.90380191803
节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事。,The draft is told in abreast of the fund to attend to the Leicester Academy ofrivileged Repmerce.,"The program tells a historical story from Song Hui Zong, who succeeded the throne to Song Gao Zong, who abdicated.",节目讲述了从宋徽宗即位到宋高宗退位期间的历史故事,the draft is told in abreast of the fund to attend to the leicester academy ofrivileged repmerce,the program tells a historical story from song hui zong who succeeded the throne to song gao zong who abdicated,4363.90380191803
黄子芊是班上最具名气的一人。,The Chinese Tower sells the most interesting people,Huang Zhiqian is one of the most popular students in the class.,黄子芊是班上最具名气的一人,the chinese tower sells the most interesting people,huang zhiqian is one of the most popular students in the class,4363.90380191803
哈拉尔三世可以指,size three,Harral III refers to,哈拉尔三世可以指,size three,harral iii refers to,4363.90380191803
二水车站亦为集集线的起点。,The second cylinder one .,Er Shui station is also the starting point of Jiji Line.,二水车站亦为集集线的起点,the second cylinder one,er shui station is also the starting point of jiji line,4363.90380191803
科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园。,The K-POP national park is also the most popular national park in the United States.,Koberk Valley Nationg Park has the lest number of tourist among American National Park.,科伯克谷国家公园也是美国的国家公园中游客数最少的国家公园,the k pop national park is also the most popular national park in the united states,koberk valley nationg park has the lest number of tourist among american national park,4363.90380191803
治所在怀道县。,I go to the public bathroom,Zhisuo is located at Qing Huai county.,治所在怀道县,i go to the public bathroom,zhisuo is located at qing huai county,4363.90380191803
